Journals_Data_Title,journal_autofix_title,Journals_Data_ISSN,Journals_Data_INVBR,Journals_Data_Location,Journals_Data_Journal_Ext_Info,Source_Line,CLEAN_ISSN,CLEAN_TITLE,CLEAN_TITLE_ext,CLEAN_PUBLISHER
"Acta Biologica Paranaense, (1972) Curitiba",Acta Biologica Paranaense,0301-2123,P-729,Rovinj,*do 1972. godine izlazi kao: Boletim da Universidade Federal do Parana|1 (1972) – 20 (1991) |21 (1992) – 22 (1993) |23 (1994) – 28 (1999) |29 (2000) – 41 (2012),"Acta Biologica Paranaense, (1972) Curitiba|ISSN 0301-2123|inv. br. P-729||*do 1972. godine izlazi kao: Boletim da Universidade Federal do Parana||1 (1972) – 20 (1991) |21 (1992) – 22 (1993) |23 (1994) – 28 (1999) |29 (2000) – 41 (2012) 					****Rovinj",,,,
"Acta Borealia A: Scientia, (1951) Oslo",Acta Borealia A: Scientia,0065-1109,P-730,Rovinj,"1951 No. ...,2,|1953 No. ...,5-6,|1955 No. ...,8,|1957 No. ...,13,|1961 No. ...,17-18,|1962 No. ...,19-20,|1968 No. ...,25,|1969 No. ...,26","Acta Borealia A: Scientia, (1951) Oslo|ISSN 0065-1109|inv. br. P-730||1951 No. ...,2,|1953 No. ...,5-6,|1955 No. ...,8,|1957 No. ...,13,|1961 No. ...,17-18,|1962 No. ...,19-20,|1968 No. ...,25,|1969 No. ...,26						****Rovinj",,,,
"Acta Botanica Croatica, (1925) Zagreb",Acta Botanica Croatica,0365-0588,P-731,Rovinj,"12/13 (1949) – 15 (1956)|16 (1957) – 18/19 (1960)|23 (1964) – 29 (1970)|31 (1972) – 34 (1975)|36 (1977) – 37 (1978)|39 (1980) – 48 (1989) nedostaje na polici br.43,44,45|53 (1994) – 54 (1995)|55/56 (1998) – 61 (2002) fali br.60","Acta Botanica Croatica, (1925) Zagreb|ISSN 0365-0588|inv. br. P-731||12/13 (1949) – 15 (1956)|16 (1957) – 18/19 (1960)|23 (1964) – 29 (1970)|31 (1972) – 34 (1975)|36 (1977) – 37 (1978)|39 (1980) – 48 (1989) nedostaje na polici br.43,44,45|53 (1994) – 54 (1995)|55/56 (1998) – 61 (2002) fali br.60					****Rovinj",,,,
"Acta Botanica Fennica, (1925) Helsinki",Acta Botanica Fennica,0001-5369,P-732,Rovinj,"38 (1947) – 144 (1990) 						|nedostaju brojevi 43,44,47,48,52,53,59,68,85,86,89,100,130,140-144","Acta Botanica Fennica, (1925) Helsinki|ISSN 0001-5369|inv. br. P-732||38 (1947) – 144 (1990) 						****Rovinj|nedostaju brojevi 43,44,47,48,52,53,59,68,85,86,89,100,130,140-144",,,,
"Acta Carsologica, (1955) Postojna",Acta Carsologica,0583-6050,P-733,Rovinj,1974 – 1997 (nedostaje 1988.),"Acta Carsologica, (1955) Postojna|ISSN 0583-6050|inv. br. P-733||1974 – 1997 (nedostaje 1988.)					****Rovinj",,,,
"Acta Chemica Scandinavica, (1947-1973) Copenhagen",Acta Chemica Scandinavica,0001-5393,P-274,Arhiv 1. krilo,12 (1958) – 27 (1973)					|*od vol. 28 (1974) dijeli se u:	Acta Chemica Scandinavica A i| 					Acta Chemica Scandinavica B,"Acta Chemica Scandinavica, (1947-1973) Copenhagen|ISSN 0001-5393|inv. br. P-274||12 (1958) – 27 (1973)					**** Arhiv 1. krilo ||*od vol. 28 (1974) dijeli se u:	Acta Chemica Scandinavica A i| 					Acta Chemica Scandinavica B",,,,
Acta Chemica Scandinavica A: Physical and Inorganic Chemistry,Acta Chemica Scandinavica A: Physical and Inorganic Chemistry,0302-4377,P-274/1,3. krilo,*do vol. 27 (1974) izlazi kao: Acta Chemica Scandinavica|28A (1974) – 35A (1981)|37A (1983) – 42A (1988)					|*od vol. 43 (1989) izlazi ponovo kao: Acta Chemica Scandinavica,Acta Chemica Scandinavica A: Physical and Inorganic Chemistry|ISSN 0302-4377|inv. br. P-274/1|||*do vol. 27 (1974) izlazi kao: Acta Chemica Scandinavica||28A (1974) – 35A (1981)|37A (1983) – 42A (1988)					****3. krilo||*od vol. 43 (1989) izlazi ponovo kao: Acta Chemica Scandinavica,,,,
Acta Chemica Scandinavica B: Organic Chemistry and Biochemistry,Acta Chemica Scandinavica B: Organic Chemistry and Biochemistry,0302-4369,P-274/2,3. krilo,*do vol. 27 (1974) izlazi kao: Acta Chemica Scandinavica|28B (1974) – 35B (1981)|37B (1983) – 42B (1988)					|*od vol. 43 (1989) izlazi ponovo kao: Acta Chemica Scandinavica,Acta Chemica Scandinavica B: Organic Chemistry and Biochemistry|ISSN 0302-4369|inv. br. P-274/2||*do vol. 27 (1974) izlazi kao: Acta Chemica Scandinavica||28B (1974) – 35B (1981)|37B (1983) – 42B (1988)					****3. krilo||*od vol. 43 (1989) izlazi ponovo kao: Acta Chemica Scandinavica,,,,
"Acta Chemica Scandinavica, (1989) Copenhagen",Acta Chemica Scandinavica,0904-213X,P-734,3. krilo,"*do vol. 42 (1988) izlazi kao: Acta Chemica Scandinavica A i|				Acta Chemica Scandinavica B|43 (1989)							|44 (1990) – 53 (1999)|					|* od 2000. prestaje izlaziti samostalno, spaja se sa Journal of the Chemical Society (Perkin Transactions 1, Perkin Transactions 2, Dalton Transactions)","Acta Chemica Scandinavica, (1989) Copenhagen|ISSN 0904-213X|inv. br. P-734||*do vol. 42 (1988) izlazi kao: Acta Chemica Scandinavica A i|				Acta Chemica Scandinavica B||43 (1989)							****3. krilo|44 (1990) – 53 (1999)|					|* od 2000. prestaje izlaziti samostalno, spaja se sa Journal of the Chemical Society (Perkin Transactions 1, Perkin Transactions 2, Dalton Transactions)",0904-213X,Acta chemica Scandinavica,AC Scandinavica Ext Title Example,"Chemical Societies in Denmark, Finland, Norway..."
"Acta Crystallographica, (1948) Copenhagen",Acta Crystallographica,0365-110X,P-24,3. krilo,"1 (1948) – 23 (1967)						|*od vol. 24 (1968) izlazi kao: | 	Acta Crystallographica, Section A: Crystal Physics, Diffraction, Theoretical and General Crystallography  i | 	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry.","Acta Crystallographica, (1948) Copenhagen|ISSN 0365-110X|inv. br. P-24||1 (1948) – 23 (1967)						****3. krilo||*od vol. 24 (1968) izlazi kao: | 	Acta Crystallographica, Section A: Crystal Physics, Diffraction, Theoretical and General Crystallography  i | 	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry.",,,,
"Acta Crystallographica, Section A: Crystal Physics, Diffraction, Theoretical and General Crystallography",Acta Crystallographica,0567-7394,P-24/1,3. krilo,"*do vol. 23 (1967) izlazi kao: Acta Crystallographica|24A (1968) – 38A (1982)					|*od vol. 39 (1983) dijeli se u sekcije:|  Acta Crystallographica, Section A: Fundamentals  of Crystallography,|  Acta Crystallographica, Section B: Structural Science,|  Acta Crystallographica, Section C: Crystal Structure Communications  i |  Acta Crystallographica, Section D: Biological Crystallography","Acta Crystallographica, Section A: Crystal Physics, Diffraction, Theoretical and General Crystallography|ISSN 0567-7394|inv. br. P-24/1||*do vol. 23 (1967) izlazi kao: Acta Crystallographica||24A (1968) – 38A (1982)					****3. krilo||*od vol. 39 (1983) dijeli se u sekcije:|  Acta Crystallographica, Section A: Fundamentals  of Crystallography,|  Acta Crystallographica, Section B: Structural Science,|  Acta Crystallographica, Section C: Crystal Structure Communications  i |  Acta Crystallographica, Section D: Biological Crystallography",,,,
"Acta Crystallographica, Section A: Fundamentals of Crystallography",Acta Crystallographica,0108-7673,P-24/3,3.krilo,"*do vol 38A (1982) izlazi kao: |  Acta Crystallographica, Section A: Crystal Physics, Diffraction, Theoretical and General Crystallography  i |  Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry|39A (1983) – 45A (1989)					|-------------------------------------------------------------------------------|46A (1990) – 62A (2006)","Acta Crystallographica, Section A: Fundamentals of Crystallography|ISSN 0108-7673|inv. br. P-24/3||*do vol 38A (1982) izlazi kao: |  Acta Crystallographica, Section A: Crystal Physics, Diffraction, Theoretical and General Crystallography  i |  Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry||39A (1983) – 45A (1989)					****3.krilo|-------------------------------------------------------------------------------|46A (1990) – 62A (2006)    					****5. krilo",0108-7673,Acta crystallographica A,,Blackwell ; Munksgaard
"Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry",Acta Crystallographica,0567-7408,P-24/2,3. krilo,"*do vol. 23 (1967) izlazi kao: Acta Crystallographica|24B (1968) – 38B (1982)					|*od vol. 39 (1983) dijeli se u sekcije:|  Acta Crystallographica, Section A: Fundamentals  of Crystallography,|  Acta Crystallographica, Section B: Structural Science,|  Acta Crystallographica, Section C: Crystal Structure Communications  i |  Acta Crystallographica, Section D: Biological Crystallography","Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry|ISSN 0567-7408|inv. br. P-24/2||*do vol. 23 (1967) izlazi kao: Acta Crystallographica||24B (1968) – 38B (1982)					****3. krilo||*od vol. 39 (1983) dijeli se u sekcije:|  Acta Crystallographica, Section A: Fundamentals  of Crystallography,|  Acta Crystallographica, Section B: Structural Science,|  Acta Crystallographica, Section C: Crystal Structure Communications  i |  Acta Crystallographica, Section D: Biological Crystallography",,,,
"Acta Crystallographica, Section B: Structural Science",Acta Crystallographica,0108-7681,P-24/4,3.krilo,"*do vol 38A (1982) izlazi kao: |  Acta Crystallographica, Section A: Crystal Physics, Diffraction, Theoretical and General Crystallography  i |  Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry|39B (1983) – 45B (1989)					|---------------------------------------------------------------------|46B (1990) – 62B (2006)","Acta Crystallographica, Section B: Structural Science|ISSN 0108-7681|inv. br. P-24/4|||*do vol 38A (1982) izlazi kao: |  Acta Crystallographica, Section A: Crystal Physics, Diffraction, Theoretical and General Crystallography  i |  Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry||39B (1983) – 45B (1989)					****3.krilo|---------------------------------------------------------------------|46B (1990) – 62B (2006)    					****5. krilo",0108-7681,Acta crystallographica B,,Blackwell ; Munksgaard
"Acta Crystallographica, Section C: Crystal Structure Communications ",Acta Crystallographica,0108-2701,P-24/5,3. krilo,"*do vol 38A (1982) izlazi kao: |  Acta Crystallographica, Section A: Crystal Physics, Diffraction, Theoretical and General Crystallography  i |  Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry|39C (1983) – 45C (1989)					|---------------------------------------------------------------------|46C (1990) -  62C (2006)","Acta Crystallographica, Section C: Crystal Structure Communications |ISSN 0108-2701|inv. br. P-24/5||*do vol 38A (1982) izlazi kao: |  Acta Crystallographica, Section A: Crystal Physics, Diffraction, Theoretical and General Crystallography  i |  Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry||39C (1983) – 45C (1989)					****3. krilo|---------------------------------------------------------------------|46C (1990) -  62C (2006)    					****5. krilo",0108-2701,Acta crystallographica C,,Blackwell ; Munksgaard
"Acta Crystallographica, Section D: Biological Crystallography",Acta Crystallographica,0907-4449,,,,"Acta Crystallographica, Section D: Biological Crystallography| 	ISSN 0907-4449",0907-4449,Acta crystallographica D,,Blackwell ; Munksgaard
inv. br. P-735,inv. br. P-735,,,,,inv. br. P-735|,,,,
*do vol 38A (1982) izlazi kao: ,*do vol 38A (1982) izlazi kao:,,,5. krilo,"Acta Crystallographica, Section A: Crystal Physics, Diffraction, Theoretical and                                              	 General Crystallography  i | 	 Acta Crystallographica, Section B: Structural Crystallography and Crystal                                     	 Chemistry| 	49D (1993) – 62D (2006)","*do vol 38A (1982) izlazi kao: |  	 Acta Crystallographica, Section A: Crystal Physics, Diffraction, Theoretical and                                              	 General Crystallography  i | 	 Acta Crystallographica, Section B: Structural Crystallography and Crystal                                     	 Chemistry| 	49D (1993) – 62D (2006)    					****5. krilo",,,,
"Acta Hydrotechnica, (1972) Ljubljana",Acta Hydrotechnica,,,,,"Acta Hydrotechnica, (1972) Ljubljana",,,,
ISSN 0352-3551,ISSN 0352-3551,,P-736,,15 (1997) No. 18-20,ISSN 0352-3551|inv. br. P-736||15 (1997) No. 18-20,,,,
16 (1998) No. 21 - 23,16 (1998) No. 21 - 23,,,,,16 (1998) No. 21 - 23,,,,
17 (1999) No. 24 - 27,17 (1999) No. 24 - 27,,,,,17 (1999) No. 24 - 27,,,,
18 (2000) No. 28,18 (2000) No. 28,,,,,18 (2000) No. 28,,,,
"21 (2003) No. 34, 35",21 (2003) No. 34,,,,"22 (2004) No. 36, 37","21 (2003) No. 34, 35|22 (2004) No. 36, 37",,,,
"23 (2005) No. 38, 39",23 (2005) No. 38,,,,"	24 (2006) No. 40, 41","23 (2005) No. 38, 39|	24 (2006) No. 40, 41",,,,
33 (2020) No.	59			**** 5. krilo (polica u sredini),33 (2020) No.	59			**** 5. krilo (polica u sredini),,,,,33 (2020) No.	59			**** 5. krilo (polica u sredini),,,,
"Acta Medicorum, (1974) Varaždin",Acta Medicorum,0350-1167,P-737,5. krilo (polica u sredini),16 (1990) – 22 (1996)|24 (1998),"Acta Medicorum, (1974) Varaždin|ISSN 0350-1167|inv. br. P-737||16 (1990) – 22 (1996)|24 (1998)					****5. krilo (polica u sredini)",,,,
"Acta Medica Croatica, (1947) Zagreb",Acta Medica Croatica,1330-0164,P-738,5. krilo,"56 (2002) No. ...,4-5|57 (2003) No. 1-4,","Acta Medica Croatica, (1947) Zagreb|ISSN 1330-0164|inv. br. P-738||56 (2002) No. ...,4-5|57 (2003) No. 1-4,					          **** 5. krilo",,,,
"Acta Metallurgica, (1953) New York",Acta Metallurgica,0001-6160,P-309,Arhiv 1. krilo,1 (1953) – 22 (1974) No. 1-3,"Acta Metallurgica, (1953) New York|ISSN 0001-6160|inv. br. P-309||1 (1953) – 22 (1974) No. 1-3					****Arhiv 1. krilo",,,,
"Acta Musei Macedonici, (1939) Skopje",Acta Musei Macedonici,0583-4988,P-739,Rovinj,1 (1953) – 29 (1988),"Acta Musei Macedonici, (1939) Skopje|ISSN 0583-4988|inv. br. P-739||1 (1953) – 29 (1988)						****Rovinj",,,,
"Acta Ornithologica, (1955) Warszawa",Acta Ornithologica,0001-6454,P-740,Rovinj,1962 – 1969,"Acta Ornithologica, (1955) Warszawa|ISSN 0001-6454|inv. br. P-740||1962 – 1969 							****Rovinj",,,,
"Acta Pharmaceutica Jugoslavica, (1951) Zagreb",Acta Pharmaceutica Jugoslavica,0001-6667,P-513,3. krilo,22 (1972) – 39 (1989)					|---------------------------------------------------------------------|40 (1990) – 41 (1991)					|*od vol. 42 (1992) izlazi kao: Acta Pharmaceutica,"Acta Pharmaceutica Jugoslavica, (1951) Zagreb|ISSN 0001-6667|inv. br. P-513||22 (1972) – 39 (1989)					****3. krilo|---------------------------------------------------------------------|40 (1990) – 41 (1991)					****5. krilo||*od vol. 42 (1992) izlazi kao: Acta Pharmaceutica",0001-6667,Acta pharmaceutica (Zagreb),,Farmaceutsko društvo Hrvatske
Acta Pharmaceutica (1992) Zagreb,Acta Pharmaceutica (1992) Zagreb,1330-0075,P-741,5. krilo,*do vol. 41 (1992) izlazi kao: Acta Pharmaceutica Jugoslavica|42 (1992) – 71 (2021)|72 (2022)     ------->,Acta Pharmaceutica (1992) Zagreb|ISSN 1330-0075|inv. br. P-741||*do vol. 41 (1992) izlazi kao: Acta Pharmaceutica Jugoslavica||42 (1992) – 71 (2021)|72 (2022)     ------->						****5. krilo,1330-0075,Acta pharmaceutica,,Hrvatsko farmaceutsko društvo
"Acta Physica Austriaca, (1947) Wien",Acta Physica Austriaca,0001-6713,P-29,Arhiv 1. krilo,1 (1947) – 53 (1981)|55 (1983) – 57 (1985),"Acta Physica Austriaca, (1947) Wien|ISSN 0001-6713|inv. br. P-29|||1 (1947) – 53 (1981)|55 (1983) – 57 (1985)					****Arhiv 1. krilo",,,,
"Acta Physica Austriaca, Supplementum, (1964) Wien",Acta Physica Austriaca,0065-1559,P-29/1,Arhiv 1. krilo,Suppl. 1 (1964) – 23 (1981)|25 (1983) – 27 (1985),"Acta Physica Austriaca, Supplementum, (1964) Wien|ISSN 0065-1559|inv. br. P-29/1||Suppl. 1 (1964) – 23 (1981)|25 (1983) – 27 (1985)					****Arhiv 1. krilo",,,,
"Acta Physica Polonica, (1920) Warszawa	",Acta Physica Polonica,0001-673X,P-114,Arhiv 1. krilo,"12 (1953) Fasc. …,2-4|13 (1954) – 33 (1968) Fasc. 1-4,..., 6|34 (1968) Fasc. 1-3,..., 6|35 (1969) – 36 (1969)		|* od 1970. izlazi kao: Acta Physica Polonica, Section A i 	Acta Physica Polonica, Section B","Acta Physica Polonica, (1920) Warszawa	|ISSN 0001-673X|inv. br. P-114||12 (1953) Fasc. …,2-4|13 (1954) – 33 (1968) Fasc. 1-4,..., 6|34 (1968) Fasc. 1-3,..., 6|35 (1969) – 36 (1969)		****Arhiv 1. krilo||* od 1970. izlazi kao: Acta Physica Polonica, Section A i 	Acta Physica Polonica, Section B",,,,
"Acta Physica Polonica, Sect. A (1920) Warszawa",Acta Physica Polonica,0587-4246,P-114A,Arhiv 1. krilo,"*do 1969. izlazi kao: Acta Physica Polonica|A37 (1970) – A60 (1981)|A65 (1984) – A69 (1986) No. …,2-6|A70 (1986) – A88 (1995)					|A89 (1996) – A93 (1998) No. ...,3-6				|A94 (1998) – A106 (2004)","Acta Physica Polonica, Sect. A (1920) Warszawa|ISSN 0587-4246|inv. br. P-114A||*do 1969. izlazi kao: Acta Physica Polonica||A37 (1970) – A60 (1981)|A65 (1984) – A69 (1986) No. …,2-6|A70 (1986) – A88 (1995)					****Arhiv 1. krilo|A89 (1996) – A93 (1998) No. ...,3-6				|A94 (1998) – A106 (2004)",0587-4246,Acta physica polonica A,,Institute of Physics (IOP) ; Polish Academy of Science
"Acta Physica Polonica, Sect. B, (1970) Warszawa",Acta Physica Polonica,0587-4254,P-114B,Arhiv 1. krilo,"*do 1969. izlazi kao: Acta Physica Polonica|B1 (1970) - B12 (1981) No. ...,2-12|B15 (1984) No. ...,2-12|B16 (1985) – B17 (1986) No. ...,2-12|B18 (1987) – B21 (1990) No. 1,...,3-12|B22 (1991) – B25 (1994) No. ...,3-12|B26 (1995)						          |B27 (1996) – B35 (2004)","Acta Physica Polonica, Sect. B, (1970) Warszawa|ISSN 0587-4254|inv. br. P-114B||*do 1969. izlazi kao: Acta Physica Polonica||B1 (1970) - B12 (1981) No. ...,2-12|B15 (1984) No. ...,2-12|B16 (1985) – B17 (1986) No. ...,2-12|B18 (1987) – B21 (1990) No. 1,...,3-12|B22 (1991) – B25 (1994) No. ...,3-12|B26 (1995)						          ****Arhiv 1. krilo|B27 (1996) – B35 (2004)",0587-4254,Acta physica polonica B,,Institute of Physics (IOP) ; Polish Academy of Science
"Acta Physica Slovaca, (1951) Bratislava",Acta Physica Slovaca,0323-0465,P-558/1,Arhiv 1. krilo,"23 (1973) No. 2-4|24 (1974) – 41 (1991) No. …,2,	|42 (1992) No. …,3-6,|43 (1993)","Acta Physica Slovaca, (1951) Bratislava|ISSN 0323-0465|inv. br. P-558/1||23 (1973) No. 2-4|24 (1974) – 41 (1991) No. …,2,	|42 (1992) No. …,3-6,|43 (1993)							****Arhiv 1. krilo",0323-0465,Acta physica Slovaca,,Institute for Scientific Information
"Acta Physiologica Latinoamericana, (1950) Buenos Aires",Acta Physiologica Latinoamericana,0001-6764,P-263,Arhiv 1. krilo,1 (1950) – 16 (1966),"Acta Physiologica Latinoamericana, (1950) Buenos Aires|ISSN 0001-6764|inv. br. P-263|||1 (1950) – 16 (1966)						****Arhiv 1. krilo",,,,
"Acta Physiologica Scandinavica, (1889) Stockholm",Acta Physiologica Scandinavica,0001-6772,P-241,Arhiv 1. krilo,42 (1958) – 74 (1968),"Acta Physiologica Scandinavica, (1889) Stockholm|ISSN 0001-6772|inv. br. P-241||42 (1958) – 74 (1968)					****Arhiv 1. krilo",,,,
"Acta Physiologica Scandinavica, Supplementum,(1940) Stockholm",Acta Physiologica Scandinavica,0302-2994,P-241/1,Arhiv 1. krilo,Suppl. 146 (1958) – 318 (1968),"Acta Physiologica Scandinavica, Supplementum,(1940) Stockholm|ISSN 0302-2994|inv. br. P-241/1||Suppl. 146 (1958) – 318 (1968)				**** Arhiv 1. krilo",,,,
"Acta ZooBot Austria, (2014)  							    ISSN 2409-367X ",Acta ZooBot Austria,,P-742,Rovinj,						  |(prije: Verhandlungen der Zoologisch-botanischen Gesellschaft in Osterreich)|150/151 (2014) – 155 (2018),"Acta ZooBot Austria, (2014)  							    ISSN 2409-367X |inv. br. P-742|						  |(prije: Verhandlungen der Zoologisch-botanischen Gesellschaft in Osterreich)|||150/151 (2014) – 155 (2018) 				****Rovinj",,,,
"Acta Zoologica Fennica, (1926) Helsinki",Acta Zoologica Fennica,0001-7299,P-743,Rovinj,1947 – 187 (1990),"Acta Zoologica Fennica, (1926) Helsinki|ISSN 0001-7299|inv. br. P-743||1947 – 187 (1990) 						****Rovinj",,,,
"Advanced Functional Materials, (2001) Weinheim",Advanced Functional Materials,1616-301X,P-744,Arhiv 1. krilo,"*do vol. 10 (2000) izlazi kao: Advanced Materials for Optics and Electronics|11 (2001) No. 1,..., 5,|12 (2002) – 15 (2005) No. 1,","Advanced Functional Materials, (2001) Weinheim|ISSN 1616-301X|inv. br. P-744||*do vol. 10 (2000) izlazi kao: Advanced Materials for Optics and Electronics||11 (2001) No. 1,..., 5,|12 (2002) – 15 (2005) No. 1,			                ***Arhiv 1. krilo",,,,
"Advanced Materials, (1989) Weinheim",Advanced Materials,0935-9648,P-745,Arhiv 1. krilo,"9 (1997) – 11 (1999) |13 (2001) No. 1-21,…,23-24|14 (2002) No. 1-7,…,9-12|15 (2003) No. …,3,…,5-6,","Advanced Materials, (1989) Weinheim|ISSN 0935-9648|inv. br. P-745||9 (1997) – 11 (1999) |13 (2001) No. 1-21,…,23-24|14 (2002) No. 1-7,…,9-12|15 (2003) No. …,3,…,5-6,	                  			****Arhiv 1. krilo",0935-9648,Advanced materials,,Wiley-VCH
"Advanced Materials for Optics and Electronics, (1992) Chichester",Advanced Materials for Optics and Electronics,1057-9257,P-746,Arhiv 1. krilo,9 (1999) – 10 (2000)						|*od vol. 11 (2001) izlazi kao: Advanced Functional Materials,"Advanced Materials for Optics and Electronics, (1992) Chichester|ISSN 1057-9257|inv. br. P-746|9 (1999) – 10 (2000)						****Arhiv 1. krilo||*od vol. 11 (2001) izlazi kao: Advanced Functional Materials",1057-9257,Advanced materials for optics and electronics,,John Wiley & Sons
